id,predicted,true_label,confidence,result
B-33,HIGH_RISK,HIGH_RISK,0.85,Correct
C-33,NOT_HIGH_RISK,NOT_HIGH_RISK,0.40,Correct
A-34,HIGH_RISK,HIGH_RISK,0.95,Correct
B-34,HIGH_RISK,HIGH_RISK,0.85,Correct
C-34,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-35,HIGH_RISK,HIGH_RISK,0.95,Correct
B-35,HIGH_RISK,HIGH_RISK,0.85,Correct
C-35,NOT_HIGH_RISK,NOT_HIGH_RISK,0.74,Correct
A-36,HIGH_RISK,HIGH_RISK,0.95,Correct
B-36,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
C-36,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-37,HIGH_RISK,HIGH_RISK,0.95,Correct
B-37,HIGH_RISK,HIGH_RISK,0.95,Correct
C-37,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-38,HIGH_RISK,HIGH_RISK,0.95,Correct
B-38,HIGH_RISK,HIGH_RISK,0.95,Correct
C-38,NOT_HIGH_RISK,NOT_HIGH_RISK,0.95,Correct
A-39,HIGH_RISK,HIGH_RISK,0.95,Correct
B-39,HIGH_RISK,HIGH_RISK,0.75,Correct
C-39,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-40,HIGH_RISK,HIGH_RISK,0.95,Correct
B-40,HIGH_RISK,HIGH_RISK,0.95,Correct
C-40,NOT_HIGH_RISK,NOT_HIGH_RISK,0.80,Correct
A-41,HIGH_RISK,HIGH_RISK,0.95,Correct
B-41,HIGH_RISK,HIGH_RISK,0.85,Correct
C-41,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-42,HIGH_RISK,HIGH_RISK,0.85,Correct
B-42,HIGH_RISK,HIGH_RISK,0.85,Correct
C-42,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-43,HIGH_RISK,HIGH_RISK,0.95,Correct
B-43,NOT_HIGH_RISK,HIGH_RISK,0.00,Wrong
C-43,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-44,HIGH_RISK,HIGH_RISK,0.95,Correct
B-44,HIGH_RISK,HIGH_RISK,0.85,Correct
C-44,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-45,HIGH_RISK,HIGH_RISK,0.92,Correct
B-45,HIGH_RISK,HIGH_RISK,0.85,Correct
C-45,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-46,HIGH_RISK,HIGH_RISK,0.92,Correct
B-46,HIGH_RISK,HIGH_RISK,0.92,Correct
C-46,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-47,HIGH_RISK,HIGH_RISK,0.95,Correct
B-47,HIGH_RISK,HIGH_RISK,0.85,Correct
C-47,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-48,HIGH_RISK,HIGH_RISK,0.95,Correct
B-48,HIGH_RISK,HIGH_RISK,0.85,Correct
C-48,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-49,HIGH_RISK,HIGH_RISK,0.95,Correct
B-49,HIGH_RISK,HIGH_RISK,0.85,Correct
C-49,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-50,HIGH_RISK,HIGH_RISK,0.95,Correct
B-50,HIGH_RISK,HIGH_RISK,0.92,Correct
C-50,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-51,HIGH_RISK,HIGH_RISK,0.95,Correct
B-51,HIGH_RISK,HIGH_RISK,0.85,Correct
C-51,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-52,HIGH_RISK,HIGH_RISK,0.95,Correct
B-52,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
C-52,NOT_HIGH_RISK,NOT_HIGH_RISK,0.75,Correct
A-53,HIGH_RISK,HIGH_RISK,0.92,Correct
B-53,HIGH_RISK,HIGH_RISK,0.95,Correct
C-53,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-54,HIGH_RISK,HIGH_RISK,0.92,Correct
B-54,HIGH_RISK,HIGH_RISK,0.85,Correct
C-54,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-55,HIGH_RISK,HIGH_RISK,0.95,Correct
B-55,HIGH_RISK,HIGH_RISK,0.95,Correct
C-55,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-56,HIGH_RISK,HIGH_RISK,0.92,Correct
B-56,HIGH_RISK,HIGH_RISK,0.95,Correct
C-56,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-57,HIGH_RISK,HIGH_RISK,0.95,Correct
B-57,HIGH_RISK,HIGH_RISK,0.85,Correct
C-57,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-58,HIGH_RISK,HIGH_RISK,0.95,Correct
B-58,HIGH_RISK,HIGH_RISK,0.92,Correct
C-58,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-59,HIGH_RISK,HIGH_RISK,0.92,Correct
B-59,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
C-59,NOT_HIGH_RISK,NOT_HIGH_RISK,0.80,Correct
A-60,HIGH_RISK,HIGH_RISK,0.95,Correct
B-60,HIGH_RISK,HIGH_RISK,0.85,Correct
C-60,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-61,HIGH_RISK,HIGH_RISK,0.95,Correct
B-61,HIGH_RISK,HIGH_RISK,0.95,Correct
C-61,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-62,HIGH_RISK,HIGH_RISK,0.95,Correct
B-62,HIGH_RISK,HIGH_RISK,0.92,Correct
C-62,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-63,HIGH_RISK,HIGH_RISK,0.95,Correct
B-63,HIGH_RISK,HIGH_RISK,0.92,Correct
C-63,NOT_HIGH_RISK,NOT_HIGH_RISK,0.80,Correct
A-64,HIGH_RISK,HIGH_RISK,0.95,Correct
B-64,HIGH_RISK,HIGH_RISK,0.95,Correct
C-64,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-65,HIGH_RISK,HIGH_RISK,0.95,Correct
B-65,HIGH_RISK,HIGH_RISK,0.85,Correct
C-65,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-66,HIGH_RISK,HIGH_RISK,0.95,Correct
B-66,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
C-66,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-67,HIGH_RISK,HIGH_RISK,0.95,Correct
B-67,HIGH_RISK,HIGH_RISK,0.85,Correct
C-67,NOT_HIGH_RISK,NOT_HIGH_RISK,0.75,Correct
A-68,HIGH_RISK,HIGH_RISK,0.92,Correct
B-68,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
C-68,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-69,HIGH_RISK,HIGH_RISK,0.95,Correct
B-69,HIGH_RISK,HIGH_RISK,0.92,Correct
C-69,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-70,HIGH_RISK,HIGH_RISK,0.95,Correct
B-70,HIGH_RISK,HIGH_RISK,0.95,Correct
C-70,NOT_HIGH_RISK,NOT_HIGH_RISK,0.75,Correct
A-71,HIGH_RISK,HIGH_RISK,0.95,Correct
B-71,HIGH_RISK,HIGH_RISK,0.85,Correct
C-71,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-72,HIGH_RISK,HIGH_RISK,0.85,Correct
B-72,NOT_HIGH_RISK,HIGH_RISK,0.80,Wrong
C-72,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-73,HIGH_RISK,HIGH_RISK,0.92,Correct
B-73,HIGH_RISK,HIGH_RISK,0.92,Correct
C-73,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-74,HIGH_RISK,HIGH_RISK,0.92,Correct
B-74,HIGH_RISK,HIGH_RISK,0.85,Correct
C-74,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-75,HIGH_RISK,HIGH_RISK,0.95,Correct
B-75,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
C-75,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-76,HIGH_RISK,HIGH_RISK,0.95,Correct
B-76,HIGH_RISK,HIGH_RISK,0.85,Correct
C-76,NOT_HIGH_RISK,NOT_HIGH_RISK,0.95,Correct
A-77,HIGH_RISK,HIGH_RISK,0.95,Correct
B-77,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
C-77,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-78,HIGH_RISK,HIGH_RISK,0.85,Correct
B-78,HIGH_RISK,HIGH_RISK,0.85,Correct
C-78,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-79,HIGH_RISK,HIGH_RISK,0.95,Correct
B-79,HIGH_RISK,HIGH_RISK,0.92,Correct
C-79,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-80,HIGH_RISK,HIGH_RISK,0.95,Correct
B-80,HIGH_RISK,HIGH_RISK,0.92,Correct
C-80,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-81,HIGH_RISK,HIGH_RISK,0.95,Correct
B-81,HIGH_RISK,HIGH_RISK,0.95,Correct
C-81,NOT_HIGH_RISK,NOT_HIGH_RISK,0.85,Correct
A-82,HIGH_RISK,HIGH_RISK,0.95,Correct
B-82,HIGH_RISK,HIGH_RISK,0.85,Correct
C-82,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-83,HIGH_RISK,HIGH_RISK,0.85,Correct
B-83,HIGH_RISK,HIGH_RISK,0.95,Correct
C-83,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-84,HIGH_RISK,HIGH_RISK,0.95,Correct
B-84,HIGH_RISK,HIGH_RISK,0.95,Correct
C-84,NOT_HIGH_RISK,NOT_HIGH_RISK,0.75,Correct
A-85,HIGH_RISK,HIGH_RISK,0.95,Correct
B-85,HIGH_RISK,HIGH_RISK,0.85,Correct
C-85,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-86,HIGH_RISK,HIGH_RISK,0.95,Correct
B-86,HIGH_RISK,HIGH_RISK,0.95,Correct
C-86,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-87,HIGH_RISK,HIGH_RISK,0.95,Correct
B-87,HIGH_RISK,HIGH_RISK,0.95,Correct
C-87,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-88,HIGH_RISK,HIGH_RISK,0.95,Correct
B-88,HIGH_RISK,HIGH_RISK,0.95,Correct
C-88,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-89,HIGH_RISK,HIGH_RISK,0.95,Correct
B-89,HIGH_RISK,HIGH_RISK,0.95,Correct
C-89,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-90,HIGH_RISK,HIGH_RISK,0.95,Correct
B-90,HIGH_RISK,HIGH_RISK,0.92,Correct
C-90,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-91,HIGH_RISK,HIGH_RISK,0.92,Correct
B-91,HIGH_RISK,HIGH_RISK,0.95,Correct
C-91,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-92,HIGH_RISK,HIGH_RISK,0.95,Correct
B-92,NOT_HIGH_RISK,HIGH_RISK,0.40,Wrong
C-92,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-93,HIGH_RISK,HIGH_RISK,0.85,Correct
B-93,HIGH_RISK,HIGH_RISK,0.85,Correct
C-93,NOT_HIGH_RISK,NOT_HIGH_RISK,0.85,Correct
A-94,HIGH_RISK,HIGH_RISK,0.85,Correct
B-94,HIGH_RISK,HIGH_RISK,0.85,Correct
C-94,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-95,HIGH_RISK,HIGH_RISK,0.95,Correct
B-95,NOT_HIGH_RISK,HIGH_RISK,0.65,Wrong
C-95,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-96,HIGH_RISK,HIGH_RISK,0.95,Correct
B-96,HIGH_RISK,HIGH_RISK,0.85,Correct
C-96,NOT_HIGH_RISK,NOT_HIGH_RISK,0.85,Correct
A-97,NOT_HIGH_RISK,HIGH_RISK,0.40,Wrong
B-97,HIGH_RISK,HIGH_RISK,0.92,Correct
C-97,HIGH_RISK,NOT_HIGH_RISK,0.75,Wrong
A-98,HIGH_RISK,HIGH_RISK,0.95,Correct
B-98,HIGH_RISK,HIGH_RISK,0.85,Correct
C-98,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-99,HIGH_RISK,HIGH_RISK,0.95,Correct
B-99,HIGH_RISK,HIGH_RISK,0.92,Correct
C-99,NOT_HIGH_RISK,NOT_HIGH_RISK,0.40,Correct
A-100,NOT_HIGH_RISK,HIGH_RISK,0.40,Wrong
B-100,HIGH_RISK,HIGH_RISK,0.85,Correct
C-100,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-101,HIGH_RISK,HIGH_RISK,0.95,Correct
B-101,HIGH_RISK,HIGH_RISK,0.92,Correct
C-101,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-102,HIGH_RISK,HIGH_RISK,0.95,Correct
B-102,HIGH_RISK,HIGH_RISK,0.85,Correct
C-102,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-103,HIGH_RISK,HIGH_RISK,0.95,Correct
B-103,HIGH_RISK,HIGH_RISK,0.85,Correct
C-103,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-104,HIGH_RISK,HIGH_RISK,0.85,Correct
B-104,HIGH_RISK,HIGH_RISK,0.92,Correct
C-104,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-105,HIGH_RISK,HIGH_RISK,0.92,Correct
B-105,NOT_HIGH_RISK,HIGH_RISK,0.40,Wrong
C-105,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-106,HIGH_RISK,HIGH_RISK,0.95,Correct
B-106,HIGH_RISK,HIGH_RISK,0.95,Correct
C-106,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-107,HIGH_RISK,HIGH_RISK,0.95,Correct
B-107,HIGH_RISK,HIGH_RISK,0.85,Correct
C-107,NOT_HIGH_RISK,NOT_HIGH_RISK,0.80,Correct
A-108,HIGH_RISK,HIGH_RISK,0.95,Correct
B-108,HIGH_RISK,HIGH_RISK,0.92,Correct
C-108,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-109,HIGH_RISK,HIGH_RISK,0.92,Correct
B-109,HIGH_RISK,HIGH_RISK,0.95,Correct
C-109,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-110,HIGH_RISK,HIGH_RISK,0.92,Correct
B-110,HIGH_RISK,HIGH_RISK,0.85,Correct
C-110,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-111,HIGH_RISK,HIGH_RISK,0.85,Correct
B-111,HIGH_RISK,HIGH_RISK,0.92,Correct
C-111,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-112,NOT_HIGH_RISK,HIGH_RISK,0.40,Wrong
B-112,HIGH_RISK,HIGH_RISK,0.92,Correct
C-112,NOT_HIGH_RISK,NOT_HIGH_RISK,0.40,Correct
A-113,HIGH_RISK,HIGH_RISK,0.85,Correct
B-113,HIGH_RISK,HIGH_RISK,0.92,Correct
C-113,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-114,HIGH_RISK,HIGH_RISK,0.95,Correct
B-114,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
C-114,NOT_HIGH_RISK,NOT_HIGH_RISK,0.40,Correct
A-115,HIGH_RISK,HIGH_RISK,0.92,Correct
B-115,HIGH_RISK,HIGH_RISK,0.95,Correct
C-115,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-116,HIGH_RISK,HIGH_RISK,0.95,Correct
B-116,HIGH_RISK,HIGH_RISK,0.95,Correct
C-116,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-117,HIGH_RISK,HIGH_RISK,0.92,Correct
B-117,HIGH_RISK,HIGH_RISK,0.95,Correct
C-117,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-118,HIGH_RISK,HIGH_RISK,0.92,Correct
B-118,HIGH_RISK,HIGH_RISK,0.95,Correct
C-118,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-119,HIGH_RISK,HIGH_RISK,0.92,Correct
B-119,HIGH_RISK,HIGH_RISK,0.95,Correct
C-119,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-120,HIGH_RISK,HIGH_RISK,0.92,Correct
B-120,HIGH_RISK,HIGH_RISK,0.85,Correct
C-120,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-121,HIGH_RISK,HIGH_RISK,0.92,Correct
B-121,HIGH_RISK,HIGH_RISK,0.92,Correct
C-121,NOT_HIGH_RISK,NOT_HIGH_RISK,0.40,Correct
A-122,HIGH_RISK,HIGH_RISK,0.95,Correct
B-122,HIGH_RISK,HIGH_RISK,0.95,Correct
C-122,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-123,HIGH_RISK,HIGH_RISK,0.92,Correct
B-123,HIGH_RISK,HIGH_RISK,0.95,Correct
C-123,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-124,HIGH_RISK,HIGH_RISK,0.95,Correct
B-124,HIGH_RISK,HIGH_RISK,0.92,Correct
C-124,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-125,HIGH_RISK,HIGH_RISK,0.95,Correct
B-125,HIGH_RISK,HIGH_RISK,0.85,Correct
C-125,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
